I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24
4;4;4;3;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4;2;4;2;4;4
4;4;5;5;5;4;4;5;4;4;4;4;5;4;5;3;4;4;4;4;3;3;4;5
4;4;3;4;4;4;4;3;4;4;3;4;4;3;4;4;3;4;4;4;3;4;4;3
5;4;5;5;3;3;5;5;5;5;4;3;5;4;2;3;5;5;5;4;5;4;5;4
4;4;3;3;4;3;5;3;3;4;4;3;3;3;2;2;4;3;2;2;2;3;3;3
5;5;5;5;4;4;5;4;5;5;4;4;5;5;3;4;5;4;5;5;2;3;3;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;4;5;5;5;5
4;4;4;4;4;3;5;5;5;4;3;4;4;4;4;4;5;4;5;5;5;4;4;4
4;4;4;4;3;3;5;4;4;2;2;5;4;4;3;3;4;3;4;4;4;2;5;3
4;3;3;3;2;4;4;4;4;4;4;4;4;3;4;4;3;4;3;5;5;4;4;4
3;3;3;5;3;4;4;5;5;4;3;3;4;4;4;1;5;5;5;5;5;3;5;4
4;4;4;5;4;4;5;5;5;4;4;4;4;4;3;3;4;5;5;5;5;5;4;4
4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;2;4;4;4
4;4;3;3;3;4;5;5;4;4;4;2;4;4;4;3;4;3;4;3;4;3;4;4
4;5;3;2;4;3;4;5;5;4;4;5;4;3;5;3;5;3;2;2;1;2;4;4
4;4;4;5;4;4;4;5;4;5;4;4;4;4;5;4;5;4;5;5;4;4;4;4
3;2;4;2;4;2;4;2;2;4;4;2;4;2;3;3;3;3;4;4;4;3;2;4
4;3;4;3;4;4;5;5;5;5;4;4;4;5;3;4;5;4;4;5;4;4;4;4
5;4;2;4;4;4;4;4;4;4;4;4;2;4;2;2;4;5;5;5;4;4;4;2
3;4;3;4;4;2;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4
4;4;3;4;4;4;5;5;5;5;4;5;5;5;4;4;4;3;4;4;4;4;4;3
4;4;4;4;4;4;4;5;3;3;4;4;4;4;4;3;3;3;4;4;4;3;5;4
5;5;4;5;5;5;4;4;4;4;4;4;4;5;4;4;4;4;4;3;3;3;3;4
3;3;3;3;3;3;3;3;5;4;3;3;4;5;4;4;5;4;4;3;4;4;4;4
3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;3;3;3;3;3;3;3;3;3
4;5;4;4;4;4;5;4;5;4;5;5;4;4;3;4;4;4;5;4;5;5;5;5
2;3;4;4;4;4;4;4;4;3;3;3;4;4;4;2;3;4;4;4;3;3;5;3
2;4;4;4;3;4;3;4;4;5;3;4;4;4;3;3;4;4;4;4;4;4;3;4
3;3;4;3;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;4;3;4;4
1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;4
4;4;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;5;4;4;5;5;5;5
4;4;4;5;5;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;5;4;4;5;5;5;4;4
3;3;4;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5
3;3;4;4;5;3;4;3;5;5;4;4;3;5;5;4;3;4;5;3;4;3;3;3
3;4;3;4;3;3;3;3;4;4;4;2;4;4;4;3;4;4;5;5;4;3;4;3
4;4;3;4;4;4;4;5;4;4;4;5;5;4;4;4;3;3;5;5;3;4;4;5
3;3;3;4;3;4;2;4;1;4;4;2;2;3;3;4;4;4;4;4;4;4;4;4
4;4;3;3;4;4;5;5;4;4;4;2;2;4;5;4;4;5;5;5;5;4;5;2
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
4;3;5;5;4;4;4;5;4;4;4;5;4;4;3;3;3;3;3;1;2;2;3;3
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3
4;3;2;4;4;4;4;4;4;4;4;4;3;2;2;3;4;3;3;1;3;3;4;4
3;4;3;4;4;4;3;3;3;2;4;4;4;2;2;2;4;3;4;4;4;3;2;4
4;4;3;4;4;4;4;4;4;5;5;5;4;4;4;3;4;3;5;5;4;4;3;4
5;4;3;4;5;3;5;3;4;5;5;5;5;4;4;4;5;4;5;4;5;4;3;5
5;4;4;4;4;5;5;4;5;4;4;4;5;5;4;4;5;3;3;3;2;4;2;4
4;4;4;5;3;3;4;2;3;2;4;4;4;4;2;4;4;3;4;4;3;2;4;4
4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;4;4;4;4;4;5;5;5;4;5;5;5;5;3;3;5;5;5;4;4;3;4;3
4;4;3;4;4;4;3;3;4;3;3;4;4;5;4;3;4;4;5;5;3;3;4;4
4;4;3;3;3;3;3;5;4;3;4;4;4;4;3;3;4;4;5;5;4;4;4;4
5;5;5;5;4;4;5;5;4;4;3;5;5;4;5;4;4;5;3;4;4;4;4;5
4;4;4;3;3;4;3;4;5;4;3;4;5;4;3;4;4;3;5;3;4;4;3;4
5;4;4;4;4;4;4;5;5;5;4;4;5;5;3;4;5;4;5;5;5;5;5;5
4;4;3;4;4;5;5;4;5;5;4;5;5;5;3;4;4;5;4;4;5;4;4;4
4;3;2;4;4;4;4;5;3;4;4;4;5;3;4;4;4;3;5;5;4;4;4;4
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;4;4;3;3;4;3;4;3;4;3;4;2;4;3;4;4;4;4;4;4;3;2;4
4;3;4;3;4;3;4;4;4;3;4;4;3;4;3;2;4;4;4;4;4;3;4;4
2;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4
4;4;3;4;4;4;4;4;5;4;4;4;5;5;3;3;4;4;4;4;4;4;4;4
3;2;3;5;4;4;5;5;4;5;4;5;5;5;4;4;5;5;5;5;5;4;4;3
3;4;3;4;4;3;4;4;5;4;3;4;4;4;4;3;3;3;4;4;4;3;4;4
4;4;3;4;4;3;5;4;4;3;3;5;4;4;3;3;4;3;4;3;3;3;4;4
3;5;2;1;5;5;5;5;5;5;5;5;5;3;5;5;2;4;5;5;1;3;2;2
4;4;3;4;4;5;5;5;5;4;5;4;5;4;3;4;5;5;4;4;3;4;3;4
3;4;4;4;4;4;4;5;5;5;5;5;4;4;3;4;4;4;5;4;4;4;4;4
5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5
